Event,"Date PST","Time PST","Latitude (º)","Longitude (º)","T Chla (µg/l)","Chla > 3µm (µg/l)","Chla < 3µm (%)","Chla > 3µm (%)","Sample Temp (C)","Sea Surface Temp (C)","Station Depth (m)","Sample Depth (m)",Program,"Water Collection School","Sample Analysis School","Number of Students"
125,2007-05-16,09:30:00,33.4485,-117.7238333,3.13,2.35,25,75,18,16.28,40,10,AFL,"Gisler Elementary","Commonwealth Elementary",40
126,2007-05-25,13:00:00,33.43583333,-117.6888333,0.72,0.5,31.25,68.75,17,17.78,40,10,SFL,"Commonwealth Elementary","Zion Elementary",
128,2007-06-01,15:00:00,33.4055,-117.6575,0.45,0.35,21.22,78.78,18,19.78,40,10,LS,"Big Bear Elementary","Carrillo Elementary",33
130,2007-06-12,13:00:00,33.4435,-117.717,1.5,1.03,31.34,68.66,18,,60,10,AFL,"Hidden Hills Elementary","Hollydale Elementary",
131,2007-06-15,13:00:00,33.44566667,-117.7195,0.4,0.33,17.55,82.45,20,17.78,60,10,LS,"Hollydale Elementary","Loara Elementary",30
132,2007-06-22,10:00:00,33.442,-117.7128333,0.32,0.21,33.56,66.44,18,18.89,40,10,LS,"Loara Elementary","Cal St. Fullerton College",28
134,2007-07-03,13:00:00,33.45463333,-117.7138333,0.27,0.07,74.5,25.5,20,22.72,40,10,CAMP,"Ocean Institute Other","Ocean Institute Other",41
136,2007-07-13,13:30:00,33.43216667,-117.6913333,2.36,0.59,75.08,24.92,17,21.94,40,10,CAMP,"Ocean Institute Other","Ocean Institute Other",31
137,2007-07-17,10:00:00,33.45483333,-117.7306667,0.19,0.04,80.01,19.99,19,20.39,40,10,CAMP,"Ocean Institute Other","Ocean Institute Other",40
138,2007-07-24,10:15:00,33.45566667,-117.7333333,0.47,0.31,34.33,65.67,20,21.61,30,10,CAMP,"Ocean Institute Other","Arborland Montessori",39
139,2007-07-27,12:00:00,33.41858333,-117.6896667,0.14,0.06,59.68,40.32,21,22.89,42,10,LS,"Arborland Montessori","Ocean Institute Other",34
140,2007-07-31,12:30:00,33.43403333,-117.6948333,0.09,0.06,38.85,61.15,22.5,22.89,40,10,CAMP,"Ocean Institute Other","Ocean Institute Other",42
141,2007-08-07,12:30:00,33.43441667,-117.7001667,0.25,0.22,10.09,89.91,21.5,23.61,40,10,CAMP,"Ocean Institute Other","Beatty Elem/Mid School",43
143,2007-08-21,10:00:00,33.43345,-117.721,0.09,0.05,44.75,55.25,20,22.78,38,10,,,"Ocean Institute Other",20
144,2007-08-28,10:00:00,33.43783333,-117.705,0.07,0.02,75.19,24.81,17,17.22,60,10,CAMP,"Ocean Institute Other","Ocean Institute Other",
145,2007-08-31,10:07:00,33.45433333,-117.7301667,0.18,0.13,25.7,74.3,18,22.22,38,10,CAMP,"Ocean Institute Other","Eshelman Elementary",29
146,2007-09-05,12:50:00,33.44033333,-117.7053333,0.11,0.07,39.86,60.14,20,22.22,32,10,WS,"Eshelman Elementary","Reynolds Elementary",36
147,2007-09-07,08:30:00,33.43583333,-117.6988333,0.08,0.03,60.53,39.47,19,22.22,38,10,WS,"Reynolds Elementary","Newland Elementary",29
150,2007-09-26,10:30:00,33.433,-117.6948333,1.23,0.36,70.39,29.61,19.5,20.28,40,10,WS,"McPherson Magnet","Schroeder Elementary",30
151,2007-09-27,13:00:00,33.433,-117.6948333,0.79,0.44,44.41,55.59,20,20,40,10,WS,"Schroeder Elementary","Veeh Elementary",29
152,2007-10-01,13:00:00,33.43335,-117.6948333,0.39,0.17,55.95,44.05,20,20,40,10,WS,"Veeh Elementary","Top of the World Elementary",33
153,2007-10-03,10:00:00,33.433,-117.6956667,0.79,0.31,60.34,39.66,18.5,19.44,40,10,WS,"Top of the World Elementary","Tri-City Christian Private",26
154,2007-10-08,12:40:00,33.4325,-117.6956667,1.77,1.06,40.42,59.58,18,18.72,40,10,WS,"Tri-City Christian Private","Landell Elementary",33
155,2007-10-10,12:00:00,33.43346667,-117.6988333,3.26,1.87,42.57,57.43,18,18.39,40,10,WS,"Landell Elementary","Rice High School",45
156,2007-10-12,13:00:00,33.4425,-117.7376667,2.83,1.15,59.26,40.74,18,,40,10,WS,"Rice High School","Harbor Day Private",
157,2007-10-16,10:30:00,33.435,-117.7015,2.24,1.68,24.84,75.16,,17.78,40,10,WS,"Harbor Day Private","College Park Elementary",32
158,2007-10-19,10:30:00,33.43383333,-117.698,1.8,1.14,36.73,63.27,18,17.5,40,10,WS,"College Park Elementary",,45
159,2007-10-28,10:00:00,33.453,-117.743,0.48,0.08,82.62,17.38,18,,40,10,ALS,,"Mira Costa College",
160,2007-10-31,13:15:00,33.456,-117.7345,0.92,0.34,62.61,37.39,19,18.22,38,10,AFL,"Mira Costa College","Mira Costa College",15
161,2007-11-02,14:15:00,33.45866667,-117.7401667,1.52,0.72,52.67,47.33,19,18.78,40,10,AFL,"Mira Costa College","Temple Heights Elementary",
162,2007-11-05,10:30:00,33.43715,-117.7213833,0.66,0.1,84.15,15.85,17.5,18.78,39,10,LS,"Temple Heights Elementary","Sonora High School",
163,2007-11-07,10:30:00,33.45095,-117.72725,0.97,0.29,69.74,30.26,19,15.56,40,10,ALS,"Sonora High School","Niguel Hills Middle",48
164,2007-11-09,08:30:00,33.43253333,-117.7281,0.74,0.2,72.3,27.7,16,16.89,40,10,EG,"Niguel Hills Middle","Niguel Hills Middle",37
165,2007-11-13,10:45:00,33.43253333,-117.6947667,1.3,0.64,50.79,49.21,16,20.56,40,10,EG,"Niguel Hills Middle","Niguel Hills Middle",44
166,2007-11-14,10:30:00,33.43401667,-117.6935667,1.41,0.64,54.67,45.33,19,23.33,40,10,EG,"Niguel Hills Middle","Palomar College",26
167,2007-11-16,14:00:00,33.44233333,-117.7135,0.56,0.31,44.74,55.26,19,18.78,40,10,AFL,"Palomar College","Viewpoint Academy",33
169,2007-11-26,13:00:00,33.43166667,-117.6871667,0.54,0.36,33.36,66.64,19,17,40,10,EG,"Niguel Hills Middle","Niguel Hills Middle",
170,2007-11-29,10:30:00,33.4345,-117.6943333,1.11,0.53,52.25,47.75,17,17,40,10,EG,"Niguel Hills Middle","Pio Pico Elementary",31
171,2007-12-04,10:00:00,33.452,-117.7293333,0.61,0.15,74.81,25.19,16,16.61,40,10,MMC,"Pio Pico Elementary","Kingston Elementary",37
172,2007-12-10,10:30:00,33.45183333,-117.73,9.94,7.38,25.8,74.2,14,16,44,10,LS,"Kingston Elementary","Edison Elementary",35
173,2007-12-13,10:00:00,33.45333333,-117.7306667,2.47,1.54,37.65,62.35,,15.61,40,10,MMC,"Edison Elementary","Davis Elementary",40
174,2007-12-17,12:53:00,33.45511667,-117.7320333,2.76,1.5,45.78,54.22,15.5,15.78,40,10,LS,"Davis Elementary","Del Obispo Elementary",30
175,2007-12-21,10:15:00,33.4345,-117.6945,10.26,0.73,92.88,7.12,18,15.56,40,10,LS,"Del Obispo Elementary","Oak Middle",33
176,2008-02-06,13:00:00,33.445,-117.7198333,2.55,1.31,48.45,51.55,19.1,,38,10,LS,"Oak Middle","Oak Middle",
177,2008-02-08,13:05:00,33.45266667,-117.7278333,5.18,3.14,39.35,60.65,19,14.61,38,10,LS,"Oak Middle","West Heritage Elementary",29
178,2008-02-12,13:10:00,33.46466667,-117.7374,2.32,1.53,33.75,66.25,13,16,38,10,MMC,"West Heritage Elementary","West Heritage Elementary",39
179,2008-02-14,13:10:00,33.43166667,-117.6936667,4.29,0.33,92.41,7.59,14,14.28,40,10,MMC,"West Heritage Elementary","El Viento Foundation High School",29
180,2008-02-16,13:00:00,33.428,-117.6943333,15.69,9.35,40.42,59.58,15,14.78,46,10,MMC,"El Viento Foundation High School","Troth St. Elementary",21
181,2008-02-19,13:00:00,33.43168333,-117.6871833,2.74,1.85,32.46,67.54,15,19.78,40,10,LS,"Troth St. Elementary","Vista View Middle",
183,2008-02-25,13:00:00,33.43166667,-117.6871833,2.8,1.51,46.16,53.84,15,14.61,35,10,LS,"Bonsall Elementary","Mariposa Elementary",46
184,2008-02-27,10:00:00,33.4525,-117.728,3.11,1.87,39.79,60.21,17.5,15.5,35,10,LS,"Mariposa Elementary","Cal St. Fullerton College",37
185,2008-03-01,08:30:00,33.47016667,-117.7466667,1.73,1.15,33.33,66.67,12.4,15,48,10,LS,"Cal St. Fullerton College","Harbor View Elementary",48
186,2008-03-04,10:30:00,33.4385,-117.7126667,2.82,1.88,33.25,66.75,13.4,15,50,10,LS,"Harbor View Elementary","Holy Family High School",28
187,2008-03-07,13:00:00,33.43233333,-117.6903333,2.21,0.92,58.17,41.83,14.2,,38,10,SS,"Holy Family High School","El Morro Elementary",28
188,2008-03-11,14:00:00,33.4508,-117.7300833,1.31,0.57,56.68,43.32,16,,46,10,MMC,"El Morro Elementary","Loma Linda Academy",26
189,2008-03-18,13:50:00,33.44866667,-117.7326667,4.56,3.49,23.39,76.61,15,,60,10,LS,"Mountain View Elementary","Pinecrest Elementary",41
