year1,m1,d1,average
2021,11,22,NaN
2021,11,23,NaN
2021,11,24,NaN
2021,11,25,NaN
2021,11,26,NaN
2021,11,27,NaN
2021,11,28,NaN
2021,11,29,NaN
2021,11,30,NaN
2021,12,1,NaN
2021,12,2,NaN
2021,12,3,NaN
2021,12,4,NaN
2021,12,5,NaN
2021,12,6,NaN
2021,12,7,NaN
2021,12,8,NaN
2021,12,9,NaN
2021,12,10,NaN
2021,12,11,NaN
2021,12,12,NaN
2021,12,13,NaN
2021,12,14,NaN
2021,12,15,NaN
2021,12,16,NaN
2021,12,17,NaN
2021,12,18,NaN
2021,12,19,NaN
2021,12,20,NaN
2021,12,21,NaN
2021,12,22,NaN
2021,12,23,NaN
2021,12,24,NaN
2021,12,25,NaN
2021,12,26,NaN
2021,12,27,NaN
2021,12,28,NaN
2021,12,29,NaN
2021,12,30,NaN
2021,12,31,NaN
2022,1,1,NaN
2022,1,2,NaN
2022,1,3,NaN
2022,1,4,NaN
2022,1,5,NaN
2022,1,6,NaN
2022,1,7,NaN
2022,1,8,NaN
2022,1,9,NaN
2022,1,10,NaN
2022,1,11,NaN
2022,1,12,NaN
2022,1,13,NaN
2022,1,14,NaN
2022,1,15,NaN
2022,1,16,NaN
2022,1,17,NaN
2022,1,18,NaN
2022,1,19,NaN
2022,1,20,NaN
2022,1,21,NaN
2022,1,22,NaN
2022,1,23,NaN
2022,1,24,NaN
2022,1,25,NaN
2022,1,26,NaN
2022,1,27,NaN
2022,1,28,NaN
2022,1,29,NaN
2022,1,30,NaN
2022,1,31,NaN
2022,2,1,NaN
2022,2,2,NaN
2022,2,3,NaN
2022,2,4,NaN
2022,2,5,NaN
2022,2,6,NaN
2022,2,7,3.673
2022,2,8,NaN
2022,2,9,NaN
2022,2,10,NaN
2022,2,11,NaN
2022,2,12,NaN
2022,2,13,NaN
2022,2,14,2.985
2022,2,15,NaN
2022,2,16,NaN
2022,2,17,NaN
2022,2,18,NaN
2022,2,19,NaN
2022,2,20,NaN
2022,2,21,NaN
2022,2,22,NaN
2022,2,23,4.365
2022,2,24,NaN
2022,2,25,NaN
2022,2,26,NaN
2022,2,27,3.548
2022,2,28,3.673
2022,3,1,NaN
2022,3,2,NaN
2022,3,3,3.199
2022,3,4,NaN
2022,3,5,3.09
2022,3,6,NaN
2022,3,7,3.311
2022,3,8,2.884
2022,3,9,2.884
2022,3,10,2.786
2022,3,11,3.09
2022,3,12,NaN
2022,3,13,NaN
2022,3,14,NaN
2022,3,15,NaN
2022,3,16,NaN
2022,3,17,NaN
2022,3,18,2.884
2022,3,19,2.786
2022,3,20,2.985
2022,3,21,NaN
2022,3,22,NaN
2022,3,23,3.548
2022,3,24,NaN
2022,3,25,2.6
2022,3,26,NaN
2022,3,27,2.188
2022,3,28,NaN
2022,3,29,NaN
2022,3,30,NaN
2022,3,31,NaN
2022,4,14,NaN
2022,4,16,NaN
2022,4,17,3.428
2022,4,18,3.199
2022,4,19,NaN
2022,4,20,3.673
2022,4,21,NaN
2022,4,22,4.519
2022,4,23,3.311
2022,4,24,3.802
2022,4,25,4.217
2022,4,26,4.365
2022,4,27,NaN
2022,4,28,NaN
2022,4,29,NaN
2022,4,30,4.365
2022,5,1,NaN
2022,5,2,3.09
2022,5,3,3.428
2022,5,4,NaN
2022,5,5,NaN
2022,5,6,NaN
2022,5,7,NaN
2022,5,8,5.957
2022,5,9,4.217
2022,5,10,NaN
2022,5,11,NaN
2022,5,12,3.548
2022,5,13,NaN
2022,5,14,2.884
2022,5,15,7.586
2022,5,16,NaN
2022,5,17,NaN
2022,5,18,NaN
2022,5,19,NaN
2022,5,20,NaN
2022,5,21,NaN
2022,5,22,3.311
2022,5,23,NaN
2022,5,24,NaN
2022,5,25,NaN
2022,5,26,NaN
2022,5,27,NaN
2022,5,28,NaN
2022,5,29,NaN
2022,5,30,NaN
2022,5,31,NaN
2022,6,1,NaN
2022,6,2,NaN
2022,6,3,3.802
2022,6,4,NaN
2022,6,5,NaN
2022,6,6,NaN
2022,6,7,NaN
2022,6,8,NaN
2022,6,9,NaN
2022,6,10,NaN
2022,6,11,4.365
2022,6,12,3.428
2022,6,13,NaN
2022,6,14,NaN
2022,6,15,3.428
2022,6,16,5.37
2022,6,17,NaN
2022,6,18,18.621
