yyyy, mm, dd,lat,lon,chla
2014,8,1,36.6198,-0.9115,0.112202
2014,8,1,36.6198,-0.901,0.116145
2014,8,1,36.6198,-0.8906,0.116145
2014,8,1,36.6198,-0.8802,0.116145
2014,8,1,36.6198,-0.8698,0.116145
2014,8,1,36.6198,-0.8594,0.116145
2014,8,1,36.6198,-0.849,0.116145
2014,8,1,36.6198,-0.8385,0.116145
2014,8,1,36.6198,-0.8281,0.120226
2014,8,1,36.6198,-0.8177,0.120226
2014,8,1,36.6198,-0.8073,0.120226
2014,8,1,36.6198,-0.7969,0.120226
2014,8,1,36.6198,-0.7865,0.120226
2014,8,1,36.6198,-0.776,0.120226
2014,8,1,36.6198,-0.7656,0.120226
2014,8,1,36.6198,-0.7552,0.120226
2014,8,1,36.6198,-0.7448,0.120226
2014,8,1,36.6198,-0.7344,0.124451
2014,8,1,36.6198,-0.724,0.124451
2014,8,1,36.6198,-0.7135,0.124451
2014,8,1,36.6198,-0.7031,0.124451
2014,8,1,36.6198,-0.6927,0.124451
2014,8,1,36.6198,-0.6823,0.124451
2014,8,1,36.6198,-0.6719,0.124451
2014,8,1,36.6094,-0.9427,0.116145
2014,8,1,36.6094,-0.9323,0.112202
2014,8,1,36.6094,-0.9219,0.116145
2014,8,1,36.6094,-0.9115,0.116145
2014,8,1,36.6094,-0.901,0.116145
2014,8,1,36.6094,-0.8906,0.116145
2014,8,1,36.6094,-0.8802,0.116145
2014,8,1,36.6094,-0.8698,0.120226
2014,8,1,36.6094,-0.8594,0.116145
2014,8,1,36.6094,-0.849,0.116145
2014,8,1,36.6094,-0.8385,0.116145
2014,8,1,36.6094,-0.8281,0.120226
2014,8,1,36.6094,-0.8177,0.120226
2014,8,1,36.6094,-0.8073,0.120226
2014,8,1,36.6094,-0.7969,0.120226
2014,8,1,36.6094,-0.7865,0.120226
2014,8,1,36.6094,-0.776,0.120226
2014,8,1,36.6094,-0.7656,0.120226
2014,8,1,36.6094,-0.7552,0.120226
2014,8,1,36.6094,-0.7448,0.120226
2014,8,1,36.6094,-0.7344,0.124451
2014,8,1,36.6094,-0.724,0.124451
2014,8,1,36.6094,-0.7135,0.124451
2014,8,1,36.6094,-0.7031,0.124451
2014,8,1,36.6094,-0.6927,0.124451
2014,8,1,36.6094,-0.6823,0.124451
2014,8,1,36.6094,-0.6719,0.128825
2014,8,1,36.599,-0.974,0.112202
2014,8,1,36.599,-0.9635,0.112202
2014,8,1,36.599,-0.9531,0.112202
2014,8,1,36.599,-0.9427,0.112202
2014,8,1,36.599,-0.9323,0.112202
2014,8,1,36.599,-0.9219,0.116145
2014,8,1,36.599,-0.9115,0.116145
2014,8,1,36.599,-0.901,0.116145
2014,8,1,36.599,-0.8906,0.116145
2014,8,1,36.599,-0.8802,0.116145
2014,8,1,36.599,-0.8698,0.116145
2014,8,1,36.599,-0.8594,0.120226
2014,8,1,36.599,-0.849,0.120226
2014,8,1,36.599,-0.8385,0.120226
2014,8,1,36.599,-0.8281,0.120226
2014,8,1,36.599,-0.8177,0.124451
2014,8,1,36.599,-0.8073,0.124451
2014,8,1,36.599,-0.7969,0.124451
2014,8,1,36.599,-0.7865,0.120226
2014,8,1,36.599,-0.776,0.124451
2014,8,1,36.599,-0.7656,0.124451
2014,8,1,36.599,-0.7552,0.128825
2014,8,1,36.599,-0.7448,0.124451
2014,8,1,36.599,-0.7344,0.124451
2014,8,1,36.599,-0.724,0.124451
2014,8,1,36.599,-0.7135,0.124451
2014,8,1,36.599,-0.7031,0.124451
2014,8,1,36.599,-0.6927,0.124451
2014,8,1,36.599,-0.6823,0.124451
2014,8,1,36.599,-0.6719,0.128825
2014,8,1,36.5885,-0.9948,0.108393
2014,8,1,36.5885,-0.9844,0.112202
2014,8,1,36.5885,-0.974,0.112202
2014,8,1,36.5885,-0.9635,0.112202
2014,8,1,36.5885,-0.9531,0.112202
2014,8,1,36.5885,-0.9427,0.112202
2014,8,1,36.5885,-0.9323,0.116145
2014,8,1,36.5885,-0.9219,0.116145
2014,8,1,36.5885,-0.9115,0.116145
2014,8,1,36.5885,-0.901,0.116145
2014,8,1,36.5885,-0.8906,0.120226
2014,8,1,36.5885,-0.8802,0.120226
2014,8,1,36.5885,-0.8698,0.120226
2014,8,1,36.5885,-0.8594,0.120226
2014,8,1,36.5885,-0.849,0.120226
2014,8,1,36.5885,-0.8385,0.124451
2014,8,1,36.5885,-0.8281,0.124451
2014,8,1,36.5885,-0.8177,0.124451
2014,8,1,36.5885,-0.8073,0.124451
2014,8,1,36.5885,-0.7969,0.124451
2014,8,1,36.5885,-0.7865,0.124451
2014,8,1,36.5885,-0.776,0.124451
2014,8,1,36.5885,-0.7656,0.124451
2014,8,1,36.5885,-0.7552,0.128825
2014,8,1,36.5885,-0.7448,0.124451
2014,8,1,36.5885,-0.7344,0.124451
2014,8,1,36.5885,-0.724,0.124451
2014,8,1,36.5885,-0.7135,0.124451
2014,8,1,36.5885,-0.7031,0.128825
2014,8,1,36.5885,-0.6927,0.124451
2014,8,1,36.5885,-0.6823,0.124451
2014,8,1,36.5885,-0.6719,0.124451
2014,8,1,36.5781,-1.0052,0.108393
2014,8,1,36.5781,-0.9948,0.108393
2014,8,1,36.5781,-0.9844,0.112202
2014,8,1,36.5781,-0.974,0.112202
2014,8,1,36.5781,-0.9635,0.112202
2014,8,1,36.5781,-0.9531,0.112202
2014,8,1,36.5781,-0.9427,0.116145
2014,8,1,36.5781,-0.9323,0.120226
2014,8,1,36.5781,-0.9219,0.116145
2014,8,1,36.5781,-0.9115,0.116145
2014,8,1,36.5781,-0.901,0.120226
2014,8,1,36.5781,-0.8906,0.120226
2014,8,1,36.5781,-0.8802,0.120226
2014,8,1,36.5781,-0.8698,0.120226
2014,8,1,36.5781,-0.8594,0.124451
2014,8,1,36.5781,-0.849,0.124451
2014,8,1,36.5781,-0.8385,0.124451
2014,8,1,36.5781,-0.8281,0.128825
2014,8,1,36.5781,-0.8177,0.128825
2014,8,1,36.5781,-0.8073,0.128825
2014,8,1,36.5781,-0.7969,0.128825
2014,8,1,36.5781,-0.7865,0.128825
2014,8,1,36.5781,-0.776,0.124451
2014,8,1,36.5781,-0.7656,0.124451
2014,8,1,36.5781,-0.7552,0.128825
2014,8,1,36.5781,-0.7448,0.124451
2014,8,1,36.5781,-0.7344,0.124451
2014,8,1,36.5781,-0.724,0.124451
2014,8,1,36.5781,-0.7135,0.124451
2014,8,1,36.5781,-0.7031,0.124451
2014,8,1,36.5781,-0.6927,0.124451
2014,8,1,36.5781,-0.6823,0.124451
2014,8,1,36.5781,-0.6719,0.128825
2014,8,1,36.5677,-1.0052,0.108393
2014,8,1,36.5677,-0.9948,0.108393
2014,8,1,36.5677,-0.9844,0.112202
2014,8,1,36.5677,-0.974,0.112202
2014,8,1,36.5677,-0.9635,0.112202
2014,8,1,36.5677,-0.9531,0.112202
2014,8,1,36.5677,-0.9427,0.116145
2014,8,1,36.5677,-0.9323,0.116145
2014,8,1,36.5677,-0.9219,0.120226
2014,8,1,36.5677,-0.9115,0.116145
2014,8,1,36.5677,-0.901,0.120226
2014,8,1,36.5677,-0.8906,0.124451
2014,8,1,36.5677,-0.8802,0.124451
2014,8,1,36.5677,-0.8698,0.124451
2014,8,1,36.5677,-0.8594,0.124451
2014,8,1,36.5677,-0.849,0.124451
2014,8,1,36.5677,-0.8385,0.128825
2014,8,1,36.5677,-0.8281,0.128825
2014,8,1,36.5677,-0.8177,0.128825
2014,8,1,36.5677,-0.8073,0.128825
2014,8,1,36.5677,-0.7969,0.128825
2014,8,1,36.5677,-0.7865,0.128825
2014,8,1,36.5677,-0.776,0.124451
2014,8,1,36.5677,-0.7656,0.124451
2014,8,1,36.5677,-0.7552,0.128825
2014,8,1,36.5677,-0.7448,0.124451
