yyyy, mm, dd,lat,lon,chla
2014,9,14,35.8177,-0.5781,0.019275
2014,9,17,37.3281,0.8385,0.019275
2014,9,17,37.3281,0.8594,0.019275
2014,9,17,37.3281,0.8698,0.019275
2014,9,17,36.9115,0.3281,0.019275
2014,9,17,36.3281,0.0573,0.019275
2014,9,24,36.9635,0.1927,0.019275
2014,9,2,36.0052,0.0156,0.019953
2014,9,3,35.8594,-0.8906,0.019953
2014,9,3,35.849,-0.7031,0.019953
2014,9,3,35.8385,-0.7448,0.019953
2014,9,3,36.1302,-0.6094,0.019953
2014,9,3,36.0052,-0.5573,0.019953
2014,9,3,35.9427,-0.4427,0.019953
2014,9,3,35.8906,-0.5885,0.019953
2014,9,7,36.3385,0.1823,0.019953
2014,9,7,35.9219,-0.5677,0.019953
2014,9,8,36.8385,-0.224,0.019953
2014,9,8,36.6094,-0.5781,0.019953
2014,9,11,35.9219,-0.026,0.019953
2014,9,15,36.7344,-0.599,0.019953
2014,9,15,36.474,0.6198,0.019953
2014,9,15,36.3281,0.349,0.019953
2014,9,15,36.1927,0.1823,0.019953
2014,9,17,36.526,0.2135,0.019953
2014,9,24,36.1302,0.1302,0.019953
2014,9,3,36.1302,-0.6719,0.020654
2014,9,3,36.0469,-0.5156,0.020654
2014,9,3,36.0469,-0.4948,0.020654
2014,9,3,35.9219,-0.5365,0.020654
2014,9,5,35.7865,-0.6406,0.020654
2014,9,5,35.7865,-0.6198,0.020654
2014,9,7,37.151,0.974,0.020654
2014,9,8,36.3594,0.5885,0.020654
2014,9,11,35.9427,0.0156,0.020654
2014,9,15,35.7865,-0.8177,0.020654
2014,9,15,36.5469,0.8177,0.020654
2014,9,15,36.4115,0.2448,0.020654
2014,9,15,36.224,0.151,0.020654
2014,9,17,36.276,0.0885,0.020654
2014,9,26,35.8073,-0.9635,0.020654
2014,9,2,36.0885,-0.151,0.02138
2014,9,2,36.0781,-0.2656,0.02138
2014,9,3,36.0781,-0.8385,0.02138
2014,9,3,36.0677,-0.9635,0.02138
2014,9,3,36.0573,-0.9948,0.02138
2014,9,3,35.849,-0.9219,0.02138
2014,9,3,36.1406,-0.4948,0.02138
2014,9,3,35.9323,-0.2031,0.02138
2014,9,3,35.9323,-0.1198,0.02138
2014,9,8,36.5365,0.6615,0.02138
2014,9,8,36.4427,0.5469,0.02138
2014,9,11,35.7448,-0.8906,0.02138
2014,9,14,35.9531,-0.2135,0.02138
2014,9,15,37.0365,0.401,0.02138
2014,9,15,36.5781,0.8698,0.02138
2014,9,15,36.5781,0.8802,0.02138
2014,9,15,36.5781,0.8906,0.02138
2014,9,15,36.5469,0.849,0.02138
2014,9,15,36.5365,0.8594,0.02138
2014,9,17,36.9635,0.401,0.02138
2014,9,17,36.9219,0.224,0.02138
2014,9,17,36.3177,0.0469,0.02138
2014,9,24,36.4323,-0.4635,0.02138
2014,9,24,36.2448,0.276,0.02138
2014,9,26,36.6719,0.7344,0.02138
2014,9,26,36.099,-0.3698,0.02138
2014,9,28,36.7448,0.5885,0.02138
2014,9,2,35.9323,-0.0677,0.022131
2014,9,3,36.1198,-0.5156,0.022131
2014,9,3,36.0573,-0.401,0.022131
2014,9,3,36.026,-0.6198,0.022131
2014,9,3,36.0156,-0.4844,0.022131
2014,9,3,35.9844,-0.3594,0.022131
2014,9,3,35.9531,-0.3594,0.022131
2014,9,3,35.9427,-0.1927,0.022131
2014,9,3,35.9427,-0.1198,0.022131
2014,9,3,35.9219,-0.5469,0.022131
2014,9,8,36.151,-0.6719,0.022131
2014,9,8,36.1094,-0.7656,0.022131
2014,9,8,36.776,0.9427,0.022131
2014,9,8,36.7031,-0.4844,0.022131
2014,9,8,36.4427,0.6823,0.022131
2014,9,8,36.4219,0.4323,0.022131
2014,9,8,36.3177,0.5469,0.022131
2014,9,8,36.2552,-0.6615,0.022131
2014,9,8,36.1302,0.1406,0.022131
2014,9,15,35.8177,-0.8073,0.022131
2014,9,15,36.599,0.9427,0.022131
2014,9,15,36.5469,0.8594,0.022131
2014,9,15,36.3906,0.2135,0.022131
2014,9,15,36.0781,-0.026,0.022131
2014,9,15,36.0573,-0.0365,0.022131
2014,9,21,36.3281,-0.0365,0.022131
2014,9,24,36.4948,0.651,0.022131
2014,9,26,35.8073,-0.974,0.022131
2014,9,28,36.401,-0.6094,0.022131
