Column2,Column3,Column4,Column5,Column6,Column7
2014,4,30,36.8385,-0.2969,0.025409999999999999
2014,4,30,36.7656,-0.474,0.025409999999999999
2014,4,30,36.7552,-0.2656,0.025409999999999999
2014,4,30,36.6719,-0.4427,0.025409999999999999
2014,4,30,36.651,-0.276,0.025409999999999999
2014,4,30,36.3594,0.0365,0.025409999999999999
2014,4,30,37.1719,0.9948,0.025409999999999999
2014,4,30,36.9948,0.6927,0.025409999999999999
2014,4,30,36.8802,-0.2448,0.025409999999999999
2014,4,30,36.8385,-0.2969,0.025409999999999999
2014,4,30,36.7656,-0.474,0.025409999999999999
2014,4,30,36.7552,-0.2656,0.025409999999999999
2014,4,30,36.6719,-0.4427,0.025409999999999999
2014,4,30,36.651,-0.276,0.025409999999999999
2014,4,30,36.3594,0.0365,0.025409999999999999
2014,4,16,36.0781,-0.3177,0.026303
2014,4,18,35.9531,0.026,0.026303
2014,4,21,36.9948,0.7969,0.026303
2014,4,30,36.8594,0.8594,0.026303
2014,4,30,36.7865,0.3281,0.026303
2014,4,30,36.776,-0.3385,0.026303
2014,4,30,36.6615,-0.2031,0.026303
2014,4,30,36.6198,-0.349,0.026303
2014,4,30,36.5885,-0.3698,0.026303
2014,4,30,36.5052,0.099,0.026303
2014,4,30,36.1823,-0.151,0.026303
2014,4,30,35.974,-0.3698,0.026303
2014,4,30,36.8594,0.8594,0.026303
2014,4,30,36.7865,0.3281,0.026303
2014,4,30,36.776,-0.3385,0.026303
